,Model_Name,Train_Loss,Train_Acc,Val_Acc,Val_Loss,Test_Loss,Test_Acc,Train_Time,Test_Time
0,ResNet_50,0.014003497334577295,1.0,0.9732142857142857,0.09334011469036341,0.6533808028325438,97.11538461538461,7.0mins 56secs,0.0mins 2secs
1,ResNet_18,0.04358616174787891,0.9948979591836735,0.9285714285714286,0.2910779815699373,2.037545870989561,92.3076923076923,4.0mins 52secs,0.0mins 2secs
2,AlexNet,0.19946911411612486,0.9732142857142857,0.9196428571428571,0.44047330958502634,3.0833131670951843,91.34615384615384,4.0mins 40secs,0.0mins 1secs
3,MobileNet,0.02110034458301201,0.9974489795918368,0.9866071428571429,0.057915327937475274,0.4054072955623269,98.5576923076923,9.0mins 8secs,0.0mins 1secs
4,EfficientNet_V2,0.06339712978853863,0.9904336734693877,0.9866071428571429,0.05620786627488477,0.3934550639241934,98.5576923076923,21.0mins 44secs,21.0mins 55secs
